equipment_id,tower_id,equipment_type,vendor,model,install_date,status
449,137,Antenna,ZTE,Model-Mu,2022-06-24,Faulty
450,90,Router,ZTE,Model-AH,2024-06-12,Maintenance
451,400,Antenna,Nokia,Model-IR,2025-08-02,Maintenance
452,325,Antenna,Ericsson,Model-lE,2025-05-16,Active
453,500,BTS,Samsung,Model-yW,2022-04-21,Active
454,61,BTS,Nokia,Model-LU,2024-12-20,Faulty
455,138,BTS,Huawei,Model-oe,2022-10-28,Maintenance
456,50,BTS,Ericsson,Model-JE,2024-01-20,Maintenance
457,259,BTS,Huawei,Model-sb,2024-11-03,Maintenance
458,461,BTS,Ericsson,Model-mX,2025-04-29,Faulty
459,107,BTS,Samsung,Model-OD,2024-05-05,Maintenance
460,113,Router,Samsung,Model-Zz,2025-12-29,Maintenance
461,350,Router,ZTE,Model-bX,2024-03-01,Faulty
462,254,Router,Huawei,Model-ah,2022-09-10,Active
463,118,Router,Ericsson,Model-vx,2023-09-02,Active
464,493,BTS,Samsung,Model-ur,2025-01-09,Faulty
465,198,Router,Nokia,Model-ZA,2022-04-16,Maintenance
466,337,BTS,Samsung,Model-rh,2021-08-14,Faulty
467,365,Router,Nokia,Model-QE,2026-01-16,Active
468,51,Antenna,Ericsson,Model-Na,2024-05-26,Active
469,245,Router,Samsung,Model-Yn,2025-06-08,Faulty
470,403,Router,Samsung,Model-Uo,2024-06-19,Faulty
471,426,BTS,Ericsson,Model-Ji,2023-03-12,Active
472,35,Router,Samsung,Model-nZ,2025-12-16,Faulty
473,302,Antenna,Nokia,Model-Ub,2023-12-20,Active
474,410,BTS,Samsung,Model-Fe,2025-12-26,Faulty
475,499,BTS,Huawei,Model-An,2023-05-03,Faulty
476,69,Router,ZTE,Model-Vg,2022-04-30,Faulty
477,349,BTS,Nokia,Model-Tp,2023-08-13,Active
478,320,BTS,Huawei,Model-aA,2024-01-11,Faulty
479,421,BTS,Ericsson,Model-ZM,2026-01-06,Active
480,468,BTS,Nokia,Model-zX,2022-01-05,Active
481,49,BTS,ZTE,Model-Qi,2024-10-22,Faulty
482,405,BTS,ZTE,Model-HR,2021-02-11,Faulty
483,74,Antenna,Ericsson,Model-gN,2021-06-05,Active
484,192,Router,Ericsson,Model-vt,2022-02-09,Active
485,261,Antenna,Nokia,Model-KT,2023-02-22,Maintenance
486,356,BTS,Samsung,Model-XJ,2025-12-12,Active
487,70,BTS,Ericsson,Model-MB,2024-10-12,Maintenance
488,90,Router,Samsung,Model-UD,2025-11-16,Maintenance
489,260,Antenna,Huawei,Model-zG,2025-12-09,Maintenance
490,126,Router,ZTE,Model-VR,2025-05-01,Faulty
491,231,Antenna,Samsung,Model-to,2024-05-05,Faulty
492,295,BTS,ZTE,Model-uN,2025-01-24,Active
493,498,Router,Samsung,Model-gX,2026-01-15,Maintenance
494,419,Router,Huawei,Model-QZ,2024-08-11,Faulty
495,129,BTS,Ericsson,Model-NX,2025-05-04,Faulty
496,280,Router,Huawei,Model-EN,2023-12-16,Faulty
497,313,Antenna,Ericsson,Model-ek,2023-12-15,Faulty
498,100,Antenna,Ericsson,Model-Ou,2025-10-21,Faulty
499,326,Antenna,ZTE,Model-MR,2021-03-07,Maintenance
500,297,Antenna,Huawei,Model-bj,2021-03-23,Maintenance
